City Feature,Common Name,Address,Website,Longitude,Latitude
Health Centers - Community,Holly Park Community Clinic,3815 S Othello St,http://www.ichs.com/index.php?page=clinics,-122.284054,47.536852
Health Centers - Community,Central Area Dental Clinic,2101 E Yesler Way,http://psnhc.org/index.php?page=Clinic_Detail&clinicID=8,-122.304768,47.601321
Health Centers - Community,Greenwood Medical Clinic,415 N 85th St,http://psnhc.org/index.php?page=Clinic_Detail&clinicID=1,-122.353376,47.690412
Health Centers - Community,Rainier Park Medical Clinic,4400 37th Ave S,http://psnhc.org/index.php?page=Clinic_Detail&clinicID=18,-122.285716,47.563636
Health Centers - Community,Sea Mar South Park Dental Clinic,8915 14th Ave S,http://www.seamar.org/locations/seattle_d.htm,-122.315104,47.52338
Health Centers - Community,Country Doctor Community Health Clin,500 19th Ave E,http://www.countrydoctor.org,-122.306924,47.624076
Health Centers - Community,Carolyn Downs Community Health Clinic,2101 E Yesler Way,http://www.countrydoctor.org/index.php?option=com_content&task=view&id=37&Itemid=34,-122.304768,47.601321
Health Centers - Community,International District Community Clinic,720 8th Ave S,http://www.ichs.com/,-122.322909,47.596473
Health Centers - Community,Odessa Brown Childrens Clinic,2101 E Yesler Way,http://www.seattlechildrens.org/our_services/regional_services/odessa_brown/,-122.304768,47.601321
Health Centers - Community,Uw Medicine - Belltown,2505 2nd Ave Suite 200,http://www.uwmedicine.washington.edu/facilities/NeighborhoodClinics/Clinics/Belltown,-122.32989,47.600582
Health Centers - Community,45th St Clinic,1629 N 45th St,http://psnhc.org/index.php?page=Clinic_Detail&clinicID=2,-122.3378,47.661164
Health Centers - Community,Georgetown Dental Clinic,6200 13th Ave S,http://psnhc.org/index.php?page=Clinic_Detail&clinicID=16,-122.315869,47.547557
Health Centers - Community,High Point Clinic,6020 35th Ave SW,http://psnhc.org/index.php?page=Clinic_Detail&clinicID=11,-122.377394,47.548194
Health Centers - Community,Pike Market Medical Clinic,1930 Post Alley,http://psnhc.org/index.php?page=Clinic_Detail&clinicID=7,-122.342498,47.61064
Health Centers - Community,Rainier Beach Medical Clinic,8444 Rainier Ave S,http://psnhc.org/index.php?page=Clinic_Detail&clinicID=18,-122.269698,47.526754
Health Centers - Community,Southeast Family Dental Clinic,3800 S Myrtle St,http://psnhc.org/index.php?page=Clinic_Detail&clinicID=17,-122.285332,47.539687
Health Centers - Community,Sea Mar South Park Medical Clinic,8720 14th Ave S,http://www.seamar.org/locations/seattle_m.htm,-122.314718,47.524898
Health Centers - Community,Seattle Indian Health Board Clinic,611 12th Ave S,http://www.sihb.org/,-122.318378,47.597212
