"FEATUREITEM_ID","City.Feature","Common.Name","Address","Website","Longitude","Latitude","Location","Neighborhood"
NA,"Light Rail","University Street Station",NA,"http://www.soundtransit.org/x1182.xml",-122.33602,47.60781,"(47.60781, -122.33602)","Downtown"
NA,"Light Rail","International District Station",NA,"http://www.soundtransit.org/x1185.xml",-122.327992,47.598355,"(47.598355, -122.327992)","International District"
NA,"Light Rail","Stadium Station",NA,"http://www.soundtransit.org/x1491.xml",-122.327172,47.591108,"(47.591108, -122.327172)","Industrial District"
NA,"Light Rail","Beacon Hill Station",NA,"http://www.soundtransit.org/x1584.xml",-122.311533,47.579328,"(47.579328, -122.311533)","North Beacon Hill"
NA,"Light Rail","Columbia City Station",NA,"http://www.soundtransit.org/x1607.xml",-122.292692,47.559733,"(47.559733, -122.292692)","Beacon Hill"
NA,"Light Rail","Rainier Beach Station",NA,"http://www.soundtransit.org/x1606.xml",-122.279391,47.522394,"(47.522394, -122.279391)","Dunlap"
NA,"Light Rail","Tukwila International Blvd Station",NA,"http://www.soundtransit.org/x1647.xml",-122.287996,47.464031,"(47.464031, -122.287996)",NA
NA,"Light Rail","Westlake Station",NA,"http://www.soundtransit.org/x1179.xml",-122.33672,47.611572,"(47.611572, -122.33672)","Downtown"
NA,"Light Rail","Pioneer Square Station",NA,"http://www.soundtransit.org/x1183.xml",-122.331216,47.60256,"(47.60256, -122.331216)","Downtown"
NA,"Light Rail","Sodo Station",NA,"http://www.soundtransit.org/x1493.xml",-122.32739,47.581074,"(47.581074, -122.32739)","Industrial District"
NA,"Light Rail","Mount Baker Station",NA,"http://www.soundtransit.org/x1605.xml",-122.297679,47.57655,"(47.57655, -122.297679)","North Beacon Hill"
NA,"Light Rail","Othello Station",NA,"http://www.soundtransit.org/x1603.xml",-122.281563,47.537987,"(47.537987, -122.281563)","Brighton"
NA,"Light Rail","Airport / Seatac Station",NA,"http://www.soundtransit.org/x1173.xml",-122.296898,47.445381,"(47.445381, -122.296898)",NA
