OBJECTID,BUSLIC_LOCATION_ID,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,HRS_MONFRI,HRS_SAT,HRS_SUN,FAC_TYPE,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,DISABLED,OP_NAME,OP_PHONE,OP_PHONE2,PAYMENT_TYPE,OTHER,WEBNAME,REGIONID,OUTOFSERV,VACANT,STATUS,DATETIME,Longitude,Latitude
1,605781,"1801 6TH AV, SEATTLE, WA   98101",30,Vance BOA - Lot #60,24 hours,24 hours,24 hours,SURFACE LOT,9,18,,24,1,IMPARK,,,,N,IMPARK,0,,,,,-122.3369513,47.61319434
2,548440,"2120 5TH AV, SEATTLE, WA   98121",28,2120 5th Avenue - Lot #13,24 hours,24 hours,24 hours,SURFACE LOT,5,5,,17,,IMPARK,,,,N,IMPARK,0,,,,,-122.340983,47.61512789
3,593012,"600 STEWART ST, SEATTLE, WA   98101",100,Plaza 600 - Lot #33,24 hours,24 hours,24 hours,GARAGE,10,14,14,32,,IMPARK,,,,N,IMPARK,0,,,,,-122.337253,47.61390706
4,655407,"1109 WESTERN AV, SEATTLE, WA 98101",194,Waterfront Place - Lot 103,,,,GARAGE,6,,,,,IMPARK,,,,N,WATERFRONT PLACE GARAGE,22,N,14,0,08/03/2017 06:13:07 PM +0000,-122.3380312,47.60448714
5,665930,"1903 5TH AVE, SEATTLE, WA 98101",48,5th & Stewart Park LLC - Lot #106,,,,GARAGE,11,,,,,IMPARK,,,,N,,,,,,,-122.3383989,47.61291772
6,704189,"515 MINOR AVE, SEATTLE, WA 98101",297,First Hill Medical Building - Lot #132,,,,"GARAGE, SURFACE LOT",7,9,,,,IMPARK,,,,N,,,,,,,-122.321566,47.6066254
7,625374,"1401 BROADWAY, SEATTLE, WA   98122",277,Harvard Market Lot #72,6:00am - 12:00am,6:00am - 12:00am,6:00am - 12:00am,GARAGE/SURFACE LOT,5,,,21,,IMPARK,,,,N,IMPARK,0,,,,,-122.3212167,47.61318071
8,519369,"314 BELL ST, SEATTLE, WA   98121",21,,24 hours,24 hours,24 hours,SURFACE LOT,6,6,9,14,,Republic Parking Northwest,,,,N,REPUBLIC,0,,,,,-122.3445856,47.61527106
9,519374,"1935 2ND AV, SEATTLE, WA   98101",16,,24 hours,24 hours,24 hours,SURFACE LOT,9,9,12,33,1,Republic Parking Northwest,,,,N,REPUBLIC,0,,,,,-122.3418571,47.61145264
10,605509,"2225 ALASKAN WY, SEATTLE, WA   98121",29,,6:00am - 4:30pm,6:00am - 4:30pm,6:00am - 4:30pm,SURFACE LOT,2,4,6,12,,Republic Parking Northwest,,,,N,REPUBLIC - PIER 66,0,,,,,-122.3494723,47.61137337
11,639858,"333 TAYLOR AV N, SEATTLE, WA   98109",21,,,,,SURFACE LOT,,,,,1,Republic Parking Northwest,,,,N,REPUBLIC ADLER LOT,0,,,,,-122.3464846,47.62189914
12,576659,"2200 ALASKAN WY, SEATTLE, WA   98121",37,World Trade Center West,6:00am - 1:00am,6:00am - 2:00am,6:00am - 1:00am,GARAGE,6,12,14,22,,Republic Parking Northwest,,,,N,REPUBLIC,0,,,,,-122.3474794,47.61116395
13,507523,"500 WALL ST, SEATTLE, WA   98121",205,Skye at Belltown,6:45am - 6:30pm,10:00am - 6:00pm,Closed,GARAGE,2.75,5,6.5,12,5,Republic Parking Northwest,,,,N,REPUBLIC,0,,,,,-122.3452388,47.61778629
14,76134,"233 1ST AV N, SEATTLE, WA   98109",30,,24 hours,24 hours,24 hours,SURFACE LOT,4,4,13,13,1,Republic Parking Northwest,,,,N,REPUBLIC,0,,,,,-122.3558926,47.62076328
15,613599,"101 ELLIOTT AV W, SEATTLE, WA   98119",225,PI Building,7:00am-7:00pm,CLOSED,CLOSED,GARAGE,6,8,11,21,1,Republic Parking Northwest,,,,N,REPUBLIC - PI BLDG,0,,,,,-122.359577,47.61890644
16,618335,"1200 WESTLAKE AV N, SEATTLE, WA   98109",339,AGC Building,24 hours,24 hours,24 hours,SURFACE LOT,7,10,12,16,,Republic Parking Northwest,(206) 783-4144,,,N,REPUBLIC - AGC BUILDING,0,,,,,-122.339595,47.63000113
17,637235,"5512 22ND AV NW, SEATTLE, WA   98107",25,,,,,SURFACE LOT,,,,,,,,,,N,DIAMOND,0,,,,,-122.38434,47.66925859
18,660621,"805 4TH AVE N, SEATTLE, WA 98109",35,,,,,GARAGE,,,,,,,,,,N,,,,,,,-122.3492252,47.62671877
19,681526,"420 E PIKE ST, SEATTLE, WA 98122",113,Summit Building Garage,6:00am - 10:00pm,8:00am - 12:00am,Closed,GARAGE,7,7,15,15,,Republic Parking Northwest,,,,N,,,,,,,-122.3259207,47.61449215
20,700433,"2025 1ST AVE, SEATTLE, WA 98121",186,Market Place Tower,,,,GARAGE,8,14,16,30,,Republic Parking Northwest,,,,N,,,,,,,-122.344015,47.61155867
21,660161,"1325 4TH AVE, SEATTLE, WA 98101",591,30-103 PS Plaza/Cobb Building,,,,GARAGE,10,13,17,35,,Republic Parking Northwest,,,,N,,8,N,397,397,08/03/2017 06:13:07 PM +0000,-122.3358846,47.60869161
22,530472,"2200 6TH AV, SEATTLE, WA   98101",216,Denny Building Garage - Lot #4,6:00am - 6:00pm,Closed,Closed,GARAGE,6,10,14,17,,IMPARK,,,,N,IMPARK,0,,,,,-122.3411199,47.61640947
23,704684,"1200 STEWART ST, SEATTLE, WA 98101",120,1200 Stewart - Lot #136,,,,SURFACE LOT,6,12,17,25,,IMPARK,,,,N,,,,,,,-122.331994,47.61800776
24,605782,"1818 6TH AV, SEATTLE, WA   98101",85,Tower Building Surface Lot - Lot #59; Lloyd Surface Lot - Lot #61,24 hours,24 hours,24 hours,SURFACE LOT,8,16,24,,,IMPARK,,,,N,IMPARK,0,,,,,-122.3364438,47.61356033
25,663737,"2121 6TH AVE, SEATTLE, WA 98121",434,,,,,,3,3,10,28,,IMPARK,,,,N,,,,,,,-122.3404108,47.61530713
26,530469,"1913 4TH AVE, SEATTLE, WA   98101",178,,6:30am-11pm,8am-1am,9am-8pm,GARAGE,5,10,15,27,8,IMPARK,,,,N,IMPARK,0,,,,,-122.3390335,47.61229486
27,593015,"701 PIKE ST, SEATTLE, WA   98101",233,One Convention Place - Lot #53,6:00am - 12:00am,6:00am - 12:00am,6:00am - 12:00am,GARAGE,9,12,15,31,,IMPARK,,,,N,IMPARK,,,,,,-122.3327726,47.61138221
28,548441,"2230 5TH AV, SEATTLE, WA   98121",71,5th & Bell - Lot #14,24 hours,24 hours,24 hours,,5,5,,17,,IMPARK,,,,N,IMPARK,0,,,,,-122.3425052,47.61604897
29,593906,"615 1ST AV, SEATTLE, WA   98104",34,,,,,SURFACE LOT,,,,,1,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3343684,47.60196537
30,635152,"2134 WESTERN AV, SEATTLE, WA   98121",69,,,,,SURFACE LOT,,,,,42,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3454316,47.61191728
31,17660,"751 S WELLER ST, SEATTLE, WA   98104",13,Merchants Parking #32,,,,SURFACE LOT,,,,,,Merchants Parking/Transia,,,,N,MERCHANTS PARKING ASSOC,0,,,,,-122.3229784,47.5973334
32,669468,"1740 1ST AVE S, SEATTLE, WA 98134",25,,,,,SURFACE LOT,,,,,,,,,,N,,,,,,,-122.3337307,47.58705744
33,670656,"1730 1ST AVE S, SEATTLE, WA 98134",7,,,,,SURFACE LOT,,,,,,,,,,N,,,,,,,-122.3335434,47.5871968
34,661113,"901 HIAWATHA PL S, SEATTLE, WA 98144",8,,,,,SURFACE LOT,,,,,,,,,,N,,,,,,,-122.3093401,47.59422491
35,576754,"1005 6TH AV S, SEATTLE, WA   98134",350,,,,,SURFACE LOT,,,,,,,,,,N,DIAMOND,0,,,,,-122.3267049,47.5941625
36,662686,"1701 1ST AVE S, SEATTLE, WA 98134",60,SURFACE LOT,,,,,4,4,12,,,,,,,N,,,,,,,-122.3345772,47.58788055
37,578896,"1741 4TH AV S, SEATTLE, WA   98134",18,,,,,,,,,,,,,,,Y,BUTLER,0,,,,,-122.329583,47.58682673
38,600468,"1701 4TH AV S, SEATTLE, WA   98134",30,,,,,,,,,,,,,,,Y,OUTDOOR EMPORIUM,0,,,,,-122.329444,47.58800898
39,664324,"513 23RD AVE S, SEATTLE, WA 98144",48,,,,,SURFACE LOT,,,,,,,,,,N,,,,,,,-122.3017212,47.59676712
40,705180,"1550 4TH AVE S, SEATTLE, WA 98134",68,,,,,SURFACE LOT,,,,,,,,,,N,,,,,,,-122.3283333,47.58895424
41,585503,"1555 4TH AV S, SEATTLE, WA   98134",27,,,,,,,,,,,,,,,Y,FILSON CORPORATION,0,,,,,-122.3296986,47.58856285
42,584049,"1560 1ST AV S, SEATTLE, WA   98134",241,,,,,SURFACE LOT,,,,,,,,,,N,DIAMOND,0,,,,,-122.3336823,47.58876601
43,705409,"715 23RD AVE S, SEATTLE, WA 98144",20,,,,,SURFACE LOT,,,,,,,,,,N,,,,,,,-122.3024408,47.59590635
44,653864,"614 MAYNARD AVE S, SEATTLE, WA 98104",36,,,,,SURFACE LOT,,,,,,,,,,N,,,,,,,-122.3247369,47.59697139
45,636326,"1531 UTAH AV S, SEATTLE, WA   98134",220,,,,,GARAGE,4,6,8,16,,,,,,N,IPM,0,,,,,-122.3356645,47.58923952
46,533602,"1520 OCCIDENTAL AV S, SEATTLE, WA   98134",1695,,,,,,,,,,,,,,,N,MARINERS BALLPARK GARAGE,0,,,,,-122.3324847,47.58926962
47,4590,"1201 1ST AV S, SEATTLE, WA   98101",224,,,,,SURFACE LOT,7,,,10,,,,,http://www.u-parksystem.com/locations/lot.asp?id=3,N,U-PARK,0,,,,,-122.3348641,47.5920188
48,635171,"1410 AIRPORT WY S, SEATTLE, WA   98134",26,,,,,SURFACE LOT,,,,,,,,,,N,DIAMOND,0,,,,,-122.3221872,47.59039457
49,661114,"1400 AIRPORT WAY S, SEATTLE, WA 98134",20,,,,,SURFACE LOT,,,,,,,,,,N,,,,,,,-122.3222508,47.59059769
50,125205,"1030 1ST AV S, SEATTLE, WA   98134",120,,,,,,,,,,,,,,,Y,DOME,0,,,,,-122.3336837,47.59330263
51,644071,"314 NICKERSON ST, SEATTLE, WA   98109",15,,,,,,,,,,,,,,,N,UNITED,0,,,,,-122.350353,47.6466476
52,52864,"4526 BROOKLYN AV NE, SEATTLE, WA   98105",72,,,,,,,,,,,,,,,N,U-DISTRICT PARKING LOT,0,,,,,-122.3138614,47.66241266
53,185997,"1919 6TH AV S, SEATTLE, WA   98134",80,,,,,,,,,,,,,,,Y,LMA PROPERTY MANAGEMENT,0,,,,,-122.3268959,47.58454201
54,568632,"2100 ALASKAN WY, SEATTLE, WA   98121",119,,,,,,,,,,,,,,,N,SEATTLE WATERFRONT MARRIOTT,0,,,,,-122.3465347,47.61069186
55,570059,"74 S JACKSON ST, SEATTLE, WA   98104",160,,6:30am-7pm,CLOSED,CLOSED,,2,4,,18,,,,,,N,IMPARK,0,,,,,-122.3351413,47.5995132
56,642660,"410 TERRY AV N, SEATTLE, WA   98109",409,,,,,,,,,,,,,,,Y,,0,,,,,-122.336803,47.62221202
57,52868,"4550 16TH AV NE, SEATTLE, WA   98105",39,,,,,,,,,,,,,,,Y,UCC,0,,,,,-122.310516,47.66261675
58,513327,"120 5TH AV N, SEATTLE, WA   98109",10,Trust Parking,24 hours,24 hours,24 hours,SURFACE LOT,6,6,,16,,Key Park Northwest,,,,N,KEY PARK NORTHWEST,0,,,,,-122.3474174,47.61919565
59,642663,"551 BOREN AV N, SEATTLE, WA 98109",374,,,,,,,,,,,,,,,Y,,0,,,,,-122.33619,47.62406037
60,555871,"401 ALASKAN WY S #T-46, SEATTLE, WA   98104",188,,,,,,,,,,,,,,,Y,TOTAL TERMINALS INTERNATIONAL LLC,0,,,,,-122.3364759,47.59880737
61,595346,"153 14TH AV, SEATTLE, WA   98122",98,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,-122.3145786,47.60284552
62,525026,"1113 6TH AV, SEATTLE, WA   98101",98,Crowne Plaza Hotel,,,,GARAGE,,,,,,,,,,N,CROWNE PLAZA HOTEL,0,,,,,-122.3321153,47.60809267
63,640396,"214 COLUMBIA ST, SEATTLE, WA   98104",80,,,,,,,,,,,,,,,Y,CAPLAN RAINBOW,0,,,,,-122.333279,47.60366169
64,573913,"823 3RD AV, SEATTLE, WA   98104",37,,,,,SURFACE LOT,,,,,1,Cascade,(206) 748-7595,,,N,CASCADE,0,,,,,-122.3333677,47.60459137
65,52871,"4519 BROOKLYN AV NE, SEATTLE, WA   98105",162,,,,,,,,,,,,,,,N,U-DISTRICT PARKING LOT,0,,,,,-122.3145388,47.66227443
66,117276,"515 MADISON ST, SEATTLE, WA   98104",196,Renaissance Madison Hotel,,,,GARAGE,,,,,,,,,,N,RENAISSANCE MADISON HOTEL,0,,,,,-122.3307817,47.60681191
67,617332,"99 UNION ST, SEATTLE, WA   98101",157,Four Seasons,,,,GARAGE,,,,,,Four Seasons,,,,N,FOUR SEASONS GARAGE,0,,,,,-122.3391901,47.60741531
68,635378,"76 S KING ST, SEATTLE, WA   98104",116,,,,,,,,,,,,,,,N,IPM - MERRILL PLACE,0,,,,,-122.3351919,47.59866761
69,593914,"728 12TH AV, SEATTLE, WA   98112",19,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,-122.3163614,47.60856944
70,635170,"1300 SPRING ST, SEATTLE, WA   98104",16,,,,,SURFACE LOT,,,,,1,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3234876,47.61118537
71,635172,"200 TAYLOR AV N, SEATTLE, WA   98109",87,,,,,GARAGE,,,,,4,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3458772,47.62036465
72,593927,"1000 4TH AV S, SEATTLE, WA   98134",150,,,,,SURFACE LOT,,,,,4,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3283906,47.59439476
73,625118,"1221 2ND AV, SEATTLE, WA   98101",75,,,,,GARAGE,,,,,,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3369963,47.60668585
74,593908,"305 1ST AV S, SEATTLE, WA   98104",22,,,,,SURFACE LOT,,,,,,Diamond Parking Service,,,,N,DIAMOND,0,,,,,-122.3345746,47.59989552
75,533688,"1000 OCCIDENTAL AV S, SEATTLE, WA   98104",2050,Stadium Exhibition Center Garage,,,,GARAGE,,,,7,26,International Parking Management,206-254-0811,,,N,STADIUM/EXHIBITION CENTER GARAGE,0,,,,,-122.3320358,47.59321394
76,2000026,,75,STADIUM PLACE,6am - 10pm / 12am Fri,8am - 12am,8am - 10pm,GARAGE,3,6,9,,,International Parking Management,(206)254-0811,,,N,STADIUM PLACE,17,N,7,0,08/03/2017 06:13:07 PM +0000,-122.333064,47.59764331
77,576428,"1501 1ST AV S, SEATTLE, WA   98134",299,Home Plate,,,,GARAGE,,,,,,International Parking Management,,,,N,IPM - HOMEPLATE,0,,,,,-122.3347234,47.58995011
78,543204,"500 S JACKSON ST, SEATTLE, WA   98104",100,Lot 23,Self park location,Self park location,Self park location,SURFACE LOT,6,8,12,18,,International Parking Management,(206)254-0811,,,N,AMAZON PHASE 1A #81865,0,,,,,-122.3272858,47.5994839
79,543206,"412 S MAIN ST, SEATTLE, WA   98104",52,Lot 8,Self park location,Self park location,Self park location,SURFACE LOT,6,6,9,12,,International Parking Management,(206)254-0811,,,N,Genesis #81968,0,,,,,-122.3284442,47.60029364
