City Feature,Common Name,Address,Website,Longitude,Latitude
Tennis Courts,Ballard Playground,2644 NW 60th St.,http://www.seattle.gov/parks/park_detail.asp?ID=497,-122.39155,47.672786
Tennis Courts,Jefferson Park,4165 16th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=114,-122.310923,47.56896
Tennis Courts,Froula Playground,7200 12th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=287,-122.313977,47.680538
Tennis Courts,Green Lake Park,7201 E Green Lake Dr. N,http://www.seattle.gov/parks/park_detail.asp?ID=307,-122.331029,47.681711
Tennis Courts,Magnolia Park,1461 Magnolia Blvd. W,http://www.seattle.gov/parks/park_detail.asp?ID=317,-122.397349,47.633426
Tennis Courts,Lowman Beach Park,7017 Beach Dr. SW,http://www.seattle.gov/parks/park_detail.asp?ID=461,-122.397762,47.540163
Tennis Courts,Bryant Playground,4103 NE 65th St.,http://www.seattle.gov/parks/park_detail.asp?ID=482,-122.283644,47.675299
Tennis Courts,Hiawatha Playfield,2700 California Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=456,-122.384965,47.578273
Tennis Courts,Highland Park Playground,1100 SW Cloverdale St.,http://www.seattle.gov/parks/park_detail.asp?ID=457,-122.349032,47.527379
Tennis Courts,Riverview Playfield,7226 12th Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=463,-122.348855,47.539328
Tennis Courts,South Park Playground,738 S Sullivan St.,http://www.seattle.gov/parks/park_detail.asp?ID=467,-122.32416,47.528017
Tennis Courts,Cowen Park,5849 15th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=483,-122.313072,47.672596
Tennis Courts,Ravenna-Eckstein Park,6535 Ravenna Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=488,-122.304931,47.676879
Tennis Courts,High Point Playfield,6920 34th Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=3941,-122.373414,47.540171
Tennis Courts,Sam Smith Park,1400 Martin Luther King Jr. Way S,http://www.seattle.gov/parks/park_detail.asp?ID=4242,-122.297814,47.589982
Tennis Courts,Solstice Park,7400 Fauntleroy Way SW,http://www.seattle.gov/parks/park_detail.asp?ID=4453,-122.390347,47.536414
Tennis Courts,Gilman Playground,923 NW 54th St.,http://www.seattle.gov/parks/park_detail.asp?ID=242,-122.369684,47.667293
Tennis Courts,Soundview Playfield,1590 NW 90th St.,http://www.seattle.gov/parks/park_detail.asp?ID=251,-122.378878,47.695417
Tennis Courts,Bitter Lake Playfield,13035 Linden Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=288,-122.349314,47.724209
Tennis Courts,Woodland Park,Aurora Ave. N and N 59th St.,http://www.seattle.gov/parks/park_detail.asp?ID=292,-122.344218,47.668906
Tennis Courts,Discovery Park,3801 W Government Way,http://www.seattle.gov/parks/park_detail.asp?ID=310,-122.415282,47.66083
