"X","RMS.CDW.ID","General.Offense.Number","Offense.Code","Offense.Code.Extension","Offense.Type","Summary.Offense.Code","Summarized.Offense.Description","Date.Reported","Occurred.Date.or.Date.Range.Start","Occurred.Date.Range.End","Hundred.Block.Location","District.Sector","Zone.Beat","Census.Tract.2000","Longitude","Latitude","Location","Month","Year","Neighborhood"
222249,1291233,2017365009,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","10/01/2017 09:33:00 AM","09/30/2017 09:00:00 PM","10/01/2017 09:00:00 AM","75XX BLOCK OF 14 AV NE","U","U1","2600.4016",-122.313186646,47.68396759,"(47.68396759, -122.313186646)",10,2017,"Roosevelt"
222250,1291234,2017365577,"2610",0,"FRAUD-IDENTITY THEFT","2600","FRAUD","10/01/2017 07:31:00 PM","10/01/2017 07:31:00 PM","","7XX BLOCK OF N 143 ST","N","N1","401.1001",-122.349128723,47.732315063,"(47.732315063, -122.349128723)",10,2017,"Bitter Lake"
222252,1291236,2017366313,"3542",1,"NARC-POSSESS-METH","3500","NARCOTICS","10/02/2017 11:05:00 AM","10/02/2017 11:05:00 AM","","5XX BLOCK OF 2 AV","K","K2","8100.1057",-122.332252502,47.602012634,"(47.602012634, -122.332252502)",10,2017,"Pioneer Square"
222253,1291237,2017364949,"2903",0,"PROPERTY DAMAGE-NON RESIDENTIA","2900","PROPERTY DAMAGE","10/01/2017 08:38:00 AM","10/01/2017 08:38:00 AM","","16XX BLOCK OF DEXTER AV N","D","D2","6700.1017",-122.342285156,47.633693695,"(47.633693695, -122.342285156)",10,2017,"Westlake"
222254,1291238,2017366114,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","10/02/2017 08:46:00 AM","10/02/2017 08:46:00 AM","","1 AV S / S LANDER ST","O","O1","9300.3024",-122.334205627,47.579811096,"(47.579811096, -122.334205627)",10,2017,"Industrial District"
222256,1291240,2017365874,"2903",0,"PROPERTY DAMAGE-NON RESIDENTIA","2900","PROPERTY DAMAGE","10/02/2017 04:18:00 AM","10/01/2017 03:00:00 AM","10/01/2017 02:00:00 PM","72XX BLOCK OF 1 AV NW","J","J2","2900.2023",-122.357414246,47.681266785,"(47.681266785, -122.357414246)",10,2017,"Phinney Ridge"
223747,1291340,2017366870,"2404",4,"VEH-THEFT-MTRCYCLE","2400","VEHICLE THEFT","10/02/2017 06:02:00 PM","09/25/2017 12:00:00 PM","10/02/2017 12:00:00 PM","43XX BLOCK OF STONE WY N","B","B3","5000.3027",-122.34223938,47.659572601,"(47.659572601, -122.34223938)",10,2017,"Fremont"
223920,1295142,2017371510,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","10/06/2017 09:38:00 AM","10/06/2017 09:38:00 AM","","125XX BLOCK OF LAKE CITY WY NE","L","L3","100.5006",-122.294700623,47.720184326,"(47.720184326, -122.294700623)",10,2017,"Olympic Hills"
223921,1295143,2017372243,"X",20,"DISTURBANCE-NOISE","X","DISTURBANCE","10/06/2017 05:40:00 PM","10/06/2017 03:00:00 AM","","15XX BLOCK OF E OLIVE WY","E","E1","7402.3002",-122.325462341,47.618694305,"(47.618694305, -122.325462341)",10,2017,"Capitol Hill"
223922,1295144,2017374026,"5403",0,"DUI-DRUGS","5400","DUI","10/08/2017 05:30:00 AM","10/07/2017 12:41:00 AM","","COLORADO AV S / S HANFORD ST","O","O1","9300.3039",-122.336791992,47.575572968,"(47.575572968, -122.336791992)",10,2017,"Industrial District"
223923,1295145,2017374129,"5499",0,"TRAFFIC","5400","TRAFFIC","10/08/2017 03:01:00 AM","10/08/2017 03:01:00 AM","","E PINE ST / BELLEVUE AV","E","E1","8400.3004",-122.326805115,47.615215302,"(47.615215302, -122.326805115)",10,2017,"Capitol Hill"
223924,1295146,2017373913,"3532",0,"NARC-POSSESS-COCAINE","3500","NARCOTICS","10/07/2017 10:57:00 PM","10/07/2017 10:57:00 PM","","3 AV / BELL ST","D","D1","8001.2009",-122.344795227,47.614704132,"(47.614704132, -122.344795227)",10,2017,"Belltown"
224043,1291299,2017365269,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","10/01/2017 02:19:00 PM","10/01/2017 02:19:00 PM","","36XX BLOCK OF E MARGINAL WY S","O","O2","9300.3129",-122.339691162,47.570304871,"(47.570304871, -122.339691162)",10,2017,"Industrial District"
