,RegionName,City,State,Metro,CountyName,SizeRank,2010.01,2010.02,2010.03,2010.04,2010.05,2010.06,2010.07,2010.08,2010.09,2010.1,2010.11,2010.12,2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.1,2011.11,2011.12,2012.01,2012.02,2012.03,2012.04,2012.05,2012.06,2012.07,2012.08,2012.09,2012.1,2012.11,2012.12,2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.1,2013.11,2013.12,2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.1,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.1,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.1,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.1
1,Capitol Hill,Seattle,WA,Seattle,King,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364500,384500,395500,445000,450000,435000,448500,417475,415000,364950,345000,345000,335000,373499.5,396000,399500,399250,379800,399500,399000,394750,389700,389500,399000,387475,421250,425000,445750,425000,428000,389900,436500,449950,471950,479000,429000,469900,460000,482500,537450,460000,497000,565000,604975,610000,659974.5,589900,539000,597450,512475,498900,524900,548500,595000,569000,599000,648500
2,Greenwood,Seattle,WA,Seattle,King,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379500,379950,389499.5,367499,389999,339950,349950,349950,365000,368800,399000,384900,378500,379000,399900,384900,379500,375000,379900,409475,450000,450000,479375,498950,459980,474800,469975,425000,429950,445000,493944,494000,499950,525000,525000,484950,543500,529450,539000,544500,550000,579000,589000,550000,562000,562000,574950,575000,575000,625000
3,Wallingford,Seattle,WA,Seattle,King,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644500,675000,660000,672475,649975,650000,6.00E+05,632000,649950,625000,647750,665000,689000,727450,699500,732000,719000,725000,757449.5,749950,7.00E+05,724975,679000,664499.5,694450,799000,850000,832450,849000,875000,849975,895000
4,Beacon Hill,Seattle,WA,Seattle,King,698,281680,283315,280840,280000,279950,279000,279000,279975,284975,275000,267000,277000,284950,262500,255000,249975,250000,259900,259000,269499.5,268000,257450,235000,221000,210000,221000,232450,229950,262475,249000,249500,260000,242475,242475,269000,267000,266500,269000,267500,299000,299000,312500,315000,315000,299975,319000,355000,352500,350000,349950,327250,329950,332500,362000,344500,379950,362250,345000,350000,349500,330000,327475,372500,399725,396500,415000,439974,420500,422000,450000,484000,457475,470000,457000,502439,495000,484939,439000,430000,430000,427500,439000,427450,434950,459000,499900,499975,494945,519950,525000,555000,559000,580000,575000
5,Admiral,Seattle,WA,Seattle,King,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699950,668900,679000,659000,649000,632475,639000,638725,595000,597475,650000,627450,614950,655000,685000,685000,725000,750000,750000,727475,725000
6,North Beacon Hill,Seattle,WA,Seattle,King,786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509500,524975,525000,537475,549950,549975,549975,544950,549950,547450,559975,506988,533800,577450,562475,595000,618500,677400,599950,677450
7,Broadview,Seattle,WA,Seattle,King,986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592000,655000,669950,644000,649975,6.00E+05,582475,612475,587500,624950,637475,555000,650000,722450,749950,725000,737400,699950,719000,685000
8,Columbia City,Seattle,WA,Seattle,King,1030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489950,498000,499450,489000,495000,567000,572000,577475,579950,559000,559000,515000,554500,602000,619000,6.00E+05,6.00E+05,529990,614950,645000
9,High Point,Seattle,WA,Seattle,King,1076,312450,309000,307000,3.00E+05,302500,302500,302500,299350,305000,293500,279900,275000,274950,270000,265000,250000,238000,229000,225000,238000,242500,236500,2.00E+05,190000,2.00E+05,212475,230000,232950,231000,219000,216000,219475,227475,225000,249000,249950,249400,255000,257700,275000,269450,290975,275000,282950,297000,299000,309950,309950,319990,319990,319990,333000,302495,319990,330000,334995,371220,362475,359950,359900,363695,367490,369900,372400,375000,379900,387450,374950,377425,379925,369950,382425,405900,405900,415900,422950,415900,439950,439900,422475,435000,449950,469900,482475,499900,499900,453250,484450,525000,525000,525000,532475,525000,522500
